KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 94618670434320) at runtime/POSIX/fd.c:1012 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling __klee_posix_wrapped_main with extra arguments.
KLEE: WARNING ONCE: calling external: printf(94618665663712) at proj1.c:689 10
KLEE: WARNING: killing 199 states (over memory cap: 2446MB)
KLEE: WARNING ONCE: skipping fork (memory cap exceeded)
KLEE: WARNING: killing 145 states (over memory cap: 2457MB)
KLEE: WARNING: killing 52 states (over memory cap: 2244MB)
KLEE: WARNING: killing 53 states (over memory cap: 2337MB)
KLEE: WARNING: killing 64 states (over memory cap: 2140MB)
KLEE: WARNING: killing 80 states (over memory cap: 2236MB)
KLEE: WARNING: killing 60 states (over memory cap: 2253MB)
KLEE: WARNING: killing 88 states (over memory cap: 2163MB)
KLEE: WARNING: killing 104 states (over memory cap: 2248MB)
KLEE: WARNING: killing 62 states (over memory cap: 2192MB)
KLEE: WARNING: killing 77 states (over memory cap: 2341MB)
KLEE: WARNING: killing 77 states (over memory cap: 2192MB)
KLEE: WARNING: killing 97 states (over memory cap: 2322MB)
KLEE: WARNING: killing 43 states (over memory cap: 2247MB)
KLEE: WARNING: killing 80 states (over memory cap: 2377MB)
KLEE: WARNING: killing 46 states (over memory cap: 2291MB)
KLEE: WARNING: killing 61 states (over memory cap: 2358MB)
KLEE: WARNING: killing 143 states (over memory cap: 2744MB)
KLEE: WARNING: killing 61 states (over memory cap: 2437MB)
KLEE: WARNING: killing 39 states (over memory cap: 2389MB)
KLEE: WARNING: killing 108 states (over memory cap: 2579MB)
KLEE: WARNING: killing 45 states (over memory cap: 2294MB)
KLEE: WARNING: killing 69 states (over memory cap: 2621MB)
KLEE: WARNING: killing 54 states (over memory cap: 2710MB)
KLEE: WARNING: killing 16 states (over memory cap: 2249MB)
KLEE: WARNING: killing 102 states (over memory cap: 2339MB)
KLEE: WARNING: killing 80 states (over memory cap: 2327MB)
KLEE: WARNING: killing 34 states (over memory cap: 2163MB)
KLEE: WARNING: killing 86 states (over memory cap: 2259MB)
KLEE: WARNING: killing 32 states (over memory cap: 2107MB)
KLEE: WARNING: killing 69 states (over memory cap: 2214MB)
KLEE: WARNING: killing 57 states (over memory cap: 2200MB)
KLEE: WARNING: killing 70 states (over memory cap: 2223MB)
KLEE: WARNING: killing 30 states (over memory cap: 2104MB)
KLEE: WARNING: killing 30 states (over memory cap: 2113MB)
KLEE: WARNING: killing 47 states (over memory cap: 2141MB)
KLEE: WARNING: killing 94 states (over memory cap: 2346MB)
KLEE: WARNING: killing 52 states (over memory cap: 2213MB)
KLEE: WARNING: killing 31 states (over memory cap: 2142MB)
KLEE: WARNING: killing 30 states (over memory cap: 2151MB)
KLEE: WARNING: killing 31 states (over memory cap: 2151MB)
KLEE: WARNING: killing 28 states (over memory cap: 2134MB)
KLEE: WARNING: killing 28 states (over memory cap: 2138MB)
KLEE: WARNING: killing 23 states (over memory cap: 2118MB)
KLEE: WARNING: killing 21 states (over memory cap: 2116MB)
KLEE: WARNING: killing 20 states (over memory cap: 2116MB)
KLEE: WARNING: killing 26 states (over memory cap: 2103MB)
KLEE: WARNING: killing 30 states (over memory cap: 2113MB)
KLEE: WARNING: killing 27 states (over memory cap: 2107MB)
KLEE: WARNING: killing 28 states (over memory cap: 2118MB)
KLEE: WARNING: killing 23 states (over memory cap: 2102MB)
