KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: Large alloc: 20006000 bytes.  KLEE may run out of memory.
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 94833564058320) at runtime/POSIX/fd.c:1012 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling __klee_posix_wrapped_main with extra arguments.
KLEE: WARNING ONCE: calling external: printf(94833557609664) at projeto1.c:543 5
KLEE: WARNING ONCE: skipping fork (memory cap exceeded)
KLEE: WARNING: killing 363 states (over memory cap: 2135MB)
KLEE: WARNING: killing 273 states (over memory cap: 2111MB)
KLEE: WARNING: killing 467 states (over memory cap: 2220MB)
KLEE: WARNING: killing 683 states (over memory cap: 2397MB)
KLEE: WARNING: killing 171 states (over memory cap: 2108MB)
KLEE: WARNING: killing 129 states (over memory cap: 2107MB)
KLEE: WARNING: killing 197 states (over memory cap: 2170MB)
KLEE: WARNING: killing 184 states (over memory cap: 2149MB)
KLEE: WARNING: killing 166 states (over memory cap: 2146MB)
KLEE: WARNING: killing 175 states (over memory cap: 2173MB)
KLEE: WARNING: killing 150 states (over memory cap: 2166MB)
KLEE: WARNING: killing 128 states (over memory cap: 2156MB)
KLEE: WARNING: killing 141 states (over memory cap: 2191MB)
KLEE: WARNING: killing 89 states (over memory cap: 2132MB)
KLEE: WARNING: killing 318 states (over memory cap: 2263MB)
KLEE: WARNING: killing 472 states (over memory cap: 2490MB)
KLEE: WARNING: killing 93 states (over memory cap: 2101MB)
KLEE: WARNING: killing 99 states (over memory cap: 2119MB)
KLEE: WARNING: killing 101 states (over memory cap: 2134MB)
KLEE: WARNING: killing 127 states (over memory cap: 2188MB)
KLEE: WARNING: killing 59 states (over memory cap: 2109MB)
KLEE: WARNING: killing 47 states (over memory cap: 2105MB)
