KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 93938943063632) at runtime/POSIX/fd.c:1012 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling __klee_posix_wrapped_main with extra arguments.
KLEE: WARNING ONCE: calling external: printf(93938942555616, 1) at proj2.c:415 7
KLEE: WARNING ONCE: skipping fork (memory cap exceeded)
KLEE: WARNING: killing 3323 states (over memory cap: 2106MB)
KLEE: WARNING: killing 3172 states (over memory cap: 2107MB)
KLEE: WARNING: killing 2890 states (over memory cap: 2103MB)
KLEE: WARNING: killing 2729 states (over memory cap: 2103MB)
KLEE: WARNING: killing 2530 states (over memory cap: 2101MB)
KLEE: WARNING: killing 2410 states (over memory cap: 2102MB)
KLEE: WARNING: killing 2248 states (over memory cap: 2101MB)
KLEE: WARNING: killing 2198 states (over memory cap: 2105MB)
KLEE: WARNING: killing 2008 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1895 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1773 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1675 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1600 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1496 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1414 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1349 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1263 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1193 states (over memory cap: 2101MB)
KLEE: WARNING: killing 1138 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1073 states (over memory cap: 2102MB)
KLEE: WARNING: killing 1004 states (over memory cap: 2101MB)
KLEE: WARNING: killing 944 states (over memory cap: 2101MB)
